Trait	Dose	Batch	Number of Segregants with at least one measurement	Number of Segregants with at least 2 replicate measurements	broad-sense (H^2)	SE H^2 (+/-)	narrow-sense (h^2) (using average of replicates)	SE h^2 (+/-) (using average of replicates)	narrow-sense (h^2) (using one measurement per segregant)	SE h^2 (+/-) (using one measurement per segregant)	Additve QTL detected	Variance Explained Additive QTL	SE Variance Explained Additive QTL	Pairs of Interacting QTL	Additional Variance Explained by Interacting QTL
Cadmium_Chloride	125 ng/ml	1	799	362	0.96	0.00	0.85	0.03	0.84	0.03	6	0.79	0.04	0	0
Caffeine	500 ug/ml	3	1004	815	0.44	0.03	0.33	0.04	0.34	0.04	12	0.25	0.07	0	0
Calcium_Chloride	100 mM	1	949	465	0.47	0.04	0.38	0.04	0.35	0.04	13	0.32	0.07	0	0
Cisplatin	2 mM	8	990	686	0.49	0.03	0.40	0.04	0.32	0.04	13	0.40	0.05	0	0
Cobalt_Chloride	1.875 mM	2	1007	931	0.85	0.01	0.59	0.04	0.52	0.04	16	0.52	0.06	1	0.013230132
Congo_red	75 ug/ml	3	979	547	0.71	0.02	0.65	0.04	0.64	0.04	14	0.53	0.09	0	0
Copper	6 mM	6	972	866	0.78	0.02	0.44	0.04	0.37	0.04	14	0.40	0.08	5	0.078956053
Cycloheximide	50 ng/ml	2	1004	817	0.72	0.02	0.66	0.04	0.65	0.04	14	0.54	0.06	0	0
Diamide	1.5 mM	2	1003	844	0.70	0.02	0.60	0.04	0.51	0.04	20	0.55	0.05	0	0
E6_Berbamine	100 uM	3	1005	890	0.77	0.02	0.59	0.04	0.55	0.04	15	0.45	0.05	2	0.023284058
Ethanol	2%	1	967	513	0.75	0.02	0.56	0.04	0.53	0.04	11	0.53	0.08	0	0
Formamide	2%	2	999	806	0.76	0.02	0.41	0.05	0.36	0.04	10	0.31	0.08	4	0.08087623
Galactose	2%	4	962	494	0.63	0.03	0.32	0.04	0.29	0.04	9	0.28	0.09	2	0.036039332
Hydrogen_Peroxide	375 uM	1	769	361	0.58	0.04	0.56	0.07	0.53	0.07	6	0.47	0.11	0	0
Hydroquinone	6 g/L	5	960	557	0.60	0.03	0.35	0.04	0.36	0.04	10	0.24	0.10	0	0
Hydroxyurea	200 mM	8	944	491	0.74	0.02	0.48	0.05	0.44	0.05	13	0.35	0.10	0	0
Indoleacetic_Acid	100 uM	3	994	729	0.81	0.02	0.44	0.04	0.40	0.04	6	0.40	0.09	10	0.153350479
Lactate	2%	4	973	533	0.84	0.02	0.63	0.04	0.61	0.04	14	0.56	0.07	1	0.009963081
Lactose	2%	4	1004	907	0.89	0.01	0.64	0.03	0.59	0.03	13	0.62	0.07	0	0
Lithium_Chloride	100 mM	1	1002	894	0.87	0.01	0.80	0.03	0.78	0.03	22	0.74	0.07	0	0
Magnesium_Chloride	100 mM	3	964	536	0.57	0.03	0.33	0.04	0.29	0.04	9	0.40	0.08	1	0.013728725
Manganese_Sulfate	10 mM	3	1006	919	0.87	0.01	0.43	0.03	0.42	0.04	12	0.47	0.04	16	0.13809968
Maltose	2%	4	1005	813	0.94	0.00	0.74	0.03	0.72	0.03	5	0.65	0.05	2	0.153810461
Mannose	2%	4	957	556	0.42	0.04	0.27	0.03	0.28	0.04	10	0.31	0.07	1	0.016302963
Menadione	100 uM	3	1005	866	0.65	0.02	0.50	0.04	0.45	0.04	12	0.47	0.07	0	0
Neomycin	5 mg/ml	3	1005	865	0.86	0.01	0.72	0.03	0.69	0.03	19	0.64	0.06	2	0.017986321
Paraquat	3 mM	3	1004	876	0.79	0.01	0.64	0.03	0.66	0.03	21	0.54	0.07	0	0
Raffinose	2%	5	662	200	0.63	0.04	0.48	0.04	0.48	0.05	7	0.39	0.06	1	0.017710483
SDS	10%	1	873	297	0.81	0.03	0.54	0.04	0.51	0.04	15	0.50	0.07	0	0
Sorbitol	1 M	4	599	294	0.70	0.04	0.49	0.05	0.43	0.05	8	0.47	0.10	1	0.02082954
Trehalose	2%	4	1003	859	0.77	0.01	0.57	0.03	0.54	0.04	12	0.54	0.08	2	0.016893893
Tunicamycin	0.75 uM	2	1006	925	0.91	0.01	0.74	0.03	0.70	0.03	29	0.61	0.03	1	0.011049482
4-Hydroxybenzaldehyde	0.75 g/L	5	964	560	0.89	0.01	0.53	0.04	0.53	0.04	10	0.48	0.06	1	0.028371361
4NQO	0.125 ug/ml	2	1005	877	0.86	0.01	0.78	0.03	0.76	0.03	10	0.61	0.04	3	0.029875859
5-Fluorocytosine	1 mM	7	957	487	0.70	0.03	0.58	0.04	0.58	0.04	11	0.43	0.07	0	0
5-Fluorouracil	0.5 mM	7	992	726	0.73	0.02	0.71	0.03	0.71	0.03	16	0.60	0.08	0	0
6-Azauracil	50 ug/ml	2	1001	805	0.56	0.02	0.43	0.04	0.37	0.04	12	0.38	0.09	0	0
Xylose	2%	4	1003	867	0.76	0.02	0.55	0.03	0.49	0.04	11	0.52	0.09	2	0.023059677
YNB		4	1006	1005	0.80	0.01	0.73	0.03	0.60	0.04	18	0.60	0.06	0	0
YNB:ph3		4	979	695	0.40	0.03	0.29	0.04	0.21	0.04	12	0.28	0.06	0	0
YNB:ph8		4	887	518	0.78	0.02	0.50	0.04	0.46	0.04	17	0.43	0.09	1	0.019531014
YPD		3	1006	1005	0.76	0.01	0.73	0.03	0.62	0.04	17	0.57	0.06	4	0.04068669
YPD:15C		4	1005	851	0.84	0.01	0.53	0.05	0.48	0.05	10	0.46	0.07	5	0.043801668
YPD:37C		4	1003	875	0.83	0.01	0.69	0.03	0.64	0.03	8	0.71	0.06	9	0.041251048
YPD:4C		6	806	407	0.88	0.01	0.54	0.04	0.52	0.04	12	0.52	0.06	1	0.014740302
Zeocin	25 ug/ml	3	957	544	0.90	0.01	0.55	0.03	0.54	0.03	17	0.55	0.07	0	0
