Trait	Fraction of Phenotypic Variance Explained	Chromosome	Peak Position (bp)	LOD	1.5 LOD Confidence Interval (Left) (bp)	1.5 LOD Confidence Interval (Right) (bp)	Genes Under Confidence Interval (Common Name)	Genes Under Confidence Interval (Standard Name)
Cadmium_Chloride	0.007	2	791785	4.42	788135	798776	VBA2|SUL1|PCA1|PHO89	YBR293W|YBR294W|YBR295W|YBR296C
Cadmium_Chloride	0.687	2	798776	218.61	791785	798776	SUL1|PCA1|PHO89	YBR294W|YBR295W|YBR296C
Cadmium_Chloride	0.003	4	590825	3.05	498303	618459	REG1|NA|RAD28|MIC14|PST2|MRH1|LYS14|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|ARO3|EHD3|KRS1|ENA5|ENA2|ENA1|RSM10|NA|SNR47|NRG1|HEM13|RPC11|BAP3|HEM12|NA|NA|TPI1|DET1|DBF4|NA|CDC34|PST1|NA|YOS9|TGL2|NA|NA|UBC5|MAK21|NA|LCB2|AIM7|RPS13|RRG1|RTR2|OCA6|DOS2|DOA4|FMP16|PAA1|IPT1|SNF11|TPS2|PPH3|RAD55|SED1|SHU2|PET100|TFB5|VPS41|PDC2|STN1|RRP8|TVP23|AFR1|SSS1|RRP1	YDR028C|YDR029W|YDR030C|YDR031W|YDR032C|YDR033W|YDR034C|YDRCdelta2|YDRCdelta3|YDRCTy2-1|YDRCdelta4|YDR034C-D|YDR034C-C|YDRCdelta5|tL(UAA)D|YDRCdelta6a|YDRWdelta7|YDR034C-A|YDRCdelta6b|tQ(UUG)D1|YDR034W-B|YDR035W|YDR036C|YDR037W|YDR038C|YDR039C|YDR040C|YDR041W|YDR042C|snR47|YDR043C|YDR044W|YDR045C|YDR046C|YDR047W|YDR048C|YDR049W|YDR050C|YDR051C|YDR052C|YDR053W|YDR054C|YDR055W|YDR056C|YDR057W|YDR058C|tR(UCU)D|tD(GUC)D|YDR059C|YDR060W|YDR061W|YDR062W|YDR063W|YDR064W|YDR065W|YDR066C|YDR067C|YDR068W|YDR069C|YDR070C|YDR071C|YDR072C|YDR073W|YDR074W|YDR075W|YDR076W|YDR077W|YDR078C|YDR079W|YDR079C-A|YDR080W|YDR081C|YDR082W|YDR083W|YDR084C|YDR085C|YDR086C|YDR087C
Cadmium_Chloride	0.003	4	910685	2.99	890067	1060007	UPC2|AHA1|NA|ADR1|RAD9|SPR28|MFB1|NA|GTB1|NA|CRF1|HTB1|HTA1|ADK1|SIR4|PCF11|IVY1|NA|COX20|HEM1|RTN1|LYS4|PRP42|FMN1|MRPL7|SEC26|NA|SNU56|BUD26|NA|NA|SUP2|AMD2|PRP28|PEX5|MNN10|TRS23|NA|VHS1|NA|NA|NA|PAM1|BTT1|MET32|CHL4|RMD5|CTA1|RKM4|HSP78|YAP6|SWM1|EXG2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|DIN7|AKR1|PEX10|NA|CIA1|MSW1|NA|CCC2|NA|GLO2|DON1|NA|BSC2|PMP3|MTH1|NA|NA|RNH202|RRP45|PHM6|NA|NA|GCN2|DPP1|ZIP1|NA|INM2|NSE3|RTT103|NA|HRQ1|SRP101|SSD1|DPL1|HDA2|MHR1|SUR2|ATP5|BFR2	YDR213W|YDR214W|YDR215C|YDR216W|YDR217C|YDR218C|YDR219C|YDR220C|YDR221W|YDR222W|YDR223W|YDR224C|YDR225W|YDR226W|YDR227W|YDR228C|YDR229W|YDR230W|YDR231C|YDR232W|YDR233C|YDR234W|YDR235W|YDR236C|YDR237W|YDR238C|YDR239C|YDR240C|YDR241W|YDRWdelta12|YDRCsigma3|tY(GUA)D|YDR242W|YDR243C|YDR244W|YDR245W|YDR246W|YDR246W-A|YDR247W|YDR248C|YDR249C|YDR250C|YDR251W|YDR252W|YDR253C|YDR254W|YDR255C|YDR256C|YDR257C|YDR258C|YDR259C|YDR260C|YDR261C|tS(AGA)D2|YDRWTy2-3|YDRWdelta19|YDR261W-A|YDR261W-B|YDRWdelta20|YDRCTy1-3|YDRCdelta21|YDR261C-D|YDR261C-C|YDRCdelta22|YDRCsigma4|tG(GCC)D2|YDR262W|YDR263C|YDR264C|YDR265W|YDR266C|YDR267C|YDR268W|YDR269C|YDR270W|YDR271C|YDR272W|YDR273W|YDR274C|YDR275W|YDR276C|YDR277C|YDR278C|tE(CUC)D|YDR279W|YDR280W|YDR281C|YDRWsigma5|YDR282C|YDR283C|YDR284C|YDR285W|YDR286C|YDR287W|YDR288W|YDR289C|YDR290W|YDR291W|YDR292C|YDR293C|YDR294C|YDR295C|YDR296W|YDR297W|YDR298C|YDR299W
Cadmium_Chloride	0.007	12	646707	6.29	628217	661866	NA|IRC20|RCK2|YEF3|SSP120|SYM1|NA|NA|NDL1|NA|HAP1|NA|NA|NA|NA|NA|NA|NA|NA|GSY2	tL(CAA)L|YLR247C|YLR248W|YLR249W|YLR250W|YLR251W|YLR252W|YLR253W|YLR254C|YLR255C|YLR256W|YLRWTy1-3|YLRWdelta13|YLR256W-A|YLRWdelta14|tA(AGC)L|YLRWsigma3|YLRWdelta15|YLR257W|YLR258W
Cadmium_Chloride	0.002	14	676370	2.07	18787	716566	RPD3|PEX6|MDJ2|EGT2|PFA3|FIG4|NA|LEM3|KRE1|VNX1|NA|NA|HXT14|PFS2|PHA2|ATP11|DAL82|NA|RFA2|NA|ZIM17|STB1|KRI1|MCK1|MRPS18|NA|YPT11|NA|RPS19B|RPL18B|TOS6|TRF5|CLA4|MON2|NA|NA|RIM21|MSB3|PUS4|MID1|RFC3|PCL1|SNR40|CAF40|SEC21|CUS2|NA|SUF6|NA|NA|NA|NA|NA|NA|NA|NA|MRPL10|NA|WSC2|POP3|HCH1|ERG24|PRM1|CAF120|NA|MET2|NA|BOR1|GOR1|TOF1|SEC2|BNI1|ALP1|BSC4|LYP1|PIK1|NA|IST1|PDR17|YIF1|POL2|ORC5|NA|ATX1|DSL1|SIP3|FOL1|GIS2|RTC4|TEX1|MRPL17|NRD1|RAD50|MPA43|RPA49|NA|VPS75|CWC25|SUI1|SLA2|ATG2|ZWF1|NAR1|LAP3|KEX2|YTP1|SIN4|NA|NA|BNI4|CSL4|PDR16|ELA1|URE2|NA|JJJ1|NA|CNM67|SQS1|ATG4|SSU72|SNR19|POP1|ADE12|ALG9|MGS1|NA|RAP1|IES2|PEX17|RRG9|VID27|NA|MER1|SSB2|NA|RIO2|RTT106|NA|SPS18|NA|SPS19|PSY2|NA|GCR2|NA|WHI3|SLZ1|NA|NA|NA|CHS1|DUG3|NA|SRP1|KAR1|SWT21|UBP10|MRPL19|NA|NPR1|IPI3|NA|RHO5|NA|RPS3|MRPL22|NA|NOP13|NA|MDG1|APC1|NA|NA|PSD1|FMP41|SKO1|BNI5|NA|IBD2|RIA1|NA|RPL42A|CBK1|YGP1|ASI2|PGA1|IGO1|NSG2|NA|YCK2|GIM3|INN1|RPC31|NA|PGA2|ALF1|LSM7|NA|NA|MFA2|NA|NA|NA|MEP2|AAH1|NA|THO2|YSF3|SRV2|NAM9|EAF7|FPR1|NA|FYV6|NA|KRE33|TOM22|CPT1|DGR1|NRK1|TEP1|FAR11|SPC98|ESBP6|NAF1|NMA111|NA|TOM70|NA|NCS2|DCP2|MLS1|DMA2|NA|NA|RPC19|DBP2|CYB5|NOP15|NA|NA|YAF9|INP52|RRT16|LEU4|NA|MET4|POL1|AVT4|AIM37|OCA1|RAS2|NA|PHO23|NA|NA|RPS7B|NA|APP1|YPT53|NA|NST1|RHO2|NA|TOP2|TCB2|NA|MKT1|END3|SAL1|PMS1|SWS2|EOS1|TPM1|NIS1|APJ1|MKS1|IMP4|MLF3|MSK1|RNH201|LAT1|TOM7|RPL16B|FKH2|NA|NA|RPL9B|SUN4|AQR1|YDJ1|MTQ1|GCD10|NOP2|ARP5|NA|NA|OCA2|POR1|NA|NA|NA|NA|NA|NA|VAC7|MSG5|COX5A|COG5|NA|SFB2|ALG11|SLM2|NA|LAP2|YIP3|NA|NA|NA|NA|NA|BOP3|COG6|NA|BDP1|GPI15|IDH1|NCE103|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|SIW14|HHT2|HHF2|KTR5|NA|CRZ1|SAM50|SSN8|NME1|SNR66|KSH1|NA|FAP1|NA|HDA1|ARK1|NA|NA|NA|NA|PUB1|PBI2|HEF3|NA|SPO1|NA|NA|IDP3|ASI3|SIS1|LST8|MRP7|HRB1|PET8|RLP7|DOM34|CEN14|CIT1|NA|SUF10|NA|NA|NA|ATO2|RPC34|NA|SWM2|NA|VPS27|ATG3|LRO1|NRM1|CSE2|PRP2|URK1|PHO91|NA|SMM1|ACC1|TIM23|AIM38|ARE2|ATP23|NA|MRPL50|SNF12|MPP6|NA|SEC12|BUD17|CPR8|NA|ALG12|SSK2|PPG1|HUB1|ABZ1|SOL1|NA|ARC35|MRPS12|RSM19|DBP6|ZRG17|NA|COQ2|NA|MVD1|AGA1|PET494|TRM112|FPK1|NA|MSO1|LYS9|SNR49	YNL330C|YNL329C|YNL328C|YNL327W|YNL326C|YNL325C|YNL324W|YNL323W|YNL322C|YNL321W|YNL320W|YNL319W|YNL318C|YNL317W|YNL316C|YNL315C|YNL314W|YNL313C|YNL312W|YNL311C|YNL310C|YNL309W|YNL308C|YNL307C|YNL306W|YNL305C|YNL304W|YNL303W|YNL302C|YNL301C|YNL300W|YNL299W|YNL298W|YNL297C|YNL296W|YNL295W|YNL294C|YNL293W|YNL292W|YNL291C|YNL290W|YNL289W|snR40|YNL288W|YNL287W|YNL286W|YNL285W|tG(UCC)N|YNLWtau1|YNLCTy1-1|YNLCdelta1|YNL284C-B|YNL284C-A|YNLCdelta2|YNLCsigma1|tN(GUU)N1|YNL284C|tT(AGU)N1|YNL283C|YNL282W|YNL281W|YNL280C|YNL279W|YNL278W|YNL277W-A|YNL277W|YNL276C|YNL275W|YNL274C|YNL273W|YNL272C|YNL271C|YNL270C|YNL269W|YNL268W|YNL267W|YNL266W|YNL265C|YNL264C|YNL263C|YNL262W|YNL261W|YNL260C|YNL259C|YNL258C|YNL257C|YNL256W|YNL255C|YNL254C|YNL253W|YNL252C|YNL251C|YNL250W|YNL249C|YNL248C|YNL247W|YNL246W|YNL245C|YNL244C|YNL243W|YNL242W|YNL241C|YNL240C|YNL239W|YNL238W|YNL237W|YNL236W|YNL235C|YNL234W|YNL233W|YNL232W|YNL231C|YNL230C|YNL229C|YNL228W|YNL227C|YNL226W|YNL225C|YNL224C|YNL223W|YNL222W|snR19|YNL221C|YNL220W|YNL219C|YNL218W|YNL217W|YNL216W|YNL215W|YNL214W|YNL213C|YNL212W|YNL211C|YNL210W|YNL209W|YNL208W|YNL207W|YNL206C|YNL205C|YNL204C|YNL203C|YNL202W|YNL201C|YNL200C|YNL199C|YNL198C|YNL197C|YNL196C|YNL195C|YNL194C|YNL193W|YNL192W|YNL191W|YNL190W|YNL189W|YNL188W|YNL187W|YNL186W|YNL185C|YNL184C|YNL183C|YNL182C|YNL181W|YNL180C|YNL179C|YNL178W|YNL177C|YNL176C|YNL175C|YNL174W|YNL173C|YNL172W|YNL171C|YNL170W|YNL169C|YNL168C|YNL167C|YNL166C|YNL165W|YNL164C|YNL163C|YNL162W-A|YNL162W|YNL161W|YNL160W|YNL159C|YNL158W|YNL157W|YNL156C|YNL155W|YNL154C|YNL153C|YNL152W|YNL151C|YNL150W|YNL149C|YNL148C|YNL147W|YNL146C-A|YNL146W|YNL145W|YNL144C|YNL144W-A|YNL143C|YNL142W|YNL141W|YNL140C|YNL139C|YNL138W-A|YNL138W|YNL137C|YNL136W|YNL135C|YNL134C|YNL133C|tF(GAA)N|YNL132W|YNL131W|YNL130C|YNL130C-A|YNL129W|YNL128W|YNL127W|YNL126W|YNL125C|YNL124W|YNL123W|YNL122C|YNL121C|YNL120C|YNL119W|YNL118C|YNL117W|YNL116W|YNL115C|YNL114C|YNL113W|YNL112W|YNL111C|YNL110C|YNL109W|YNL108C|YNL107W|YNL106C|YNL105W|YNL104C|YNL103W-A|YNL103W|YNL102W|YNL101W|YNL100W|YNL099C|YNL098C|YNL097C-B|YNL097C|YNL097W-A|tL(CAA)N|YNL096C|YNL095C|YNL094W|YNL093W|YNL092W|YNL091W|YNL090W|YNL089C|YNL088W|YNL087W|YNL086W|YNL085W|YNL084C|YNL083W|YNL082W|YNL081C|YNL080C|YNL079C|YNL078W|YNL077W|YNL076W|YNL075W|YNL074C|YNL073W|YNL072W|YNL071W|YNL070W|YNL069C|YNL068C|YNL067W-A|YNL067W-B|YNL067W|YNL066W|YNL065W|YNL064C|YNL063W|YNL062C|YNL061W|YNL059C|YNL058C|YNL057W|YNL056W|YNL055C|tD(GUC)N|YNLWTy1-2|YNLWdelta3|YNL054W-A|YNL054W-B|YNLWdelta4|YNL054W|YNL053W|YNL052W|YNL051W|YNL050C|YNL049C|YNL048W|YNL047C|YNL046W|YNL045W|YNL044W|YNL043C|YNLWsigma2|YNLWsigma3|tP(UGG)N1|YNL042W-B|YNL042W|YNL041C|YNL040W|YNL039W|YNL038W|YNL037C|YNL036W|tT(AGU)N2|YNLWtau2|YNLCdelta5|YNLCTy2-1|YNLCdelta6|tP(UGG)N2|YNL035C|tI(AAU)N1|YNL034W|YNL033W|YNL032W|YNL031C|YNL030W|YNL029C|YNL028W|YNL027W|YNL026W|YNL025C|NME1|snR66|YNL024C-A|YNL024C|YNL023C|YNL022C|YNL021W|YNL020C|YNL019C|YNL018C|YNL017C|tI(AAU)N2|YNL016W|YNL015W|YNL014W|YNL013C|YNL012W|YNL011C|YNL010W|YNL009W|YNL008C|YNL007C|YNL006W|YNL005C|YNL004W|YNL003C|YNL002C|YNL001W|CEN14|YNR001C|YNR001W-A|tP(AGG)N|YNRCdelta7|YNRCtau3|tN(GUU)N2|YNR002C|YNR003C|YNR003W-A|YNR004W|YNR005C|YNR006W|YNR007C|YNR008W|YNR009W|YNR010W|YNR011C|YNR012W|YNR013C|YNR014W|YNR015W|YNR016C|YNR017W|YNR018W|YNR019W|YNR020C|YNR021W|YNR022C|YNR023W|YNR024W|YNR025C|YNR026C|YNR027W|YNR028W|YNR029C|YNR030W|YNR031C|YNR032W|YNR032C-A|YNR033W|YNR034W|YNR034W-A|YNR035C|YNR036C|YNR037C|YNR038W|YNR039C|YNR040W|YNR041C|YNR042W|YNR043W|YNR044W|YNR045W|YNR046W|YNR047W|YNR048W|YNR049C|YNR050C|snR49
Caffeine	0.01	2	417789	3.21	355624	440214	UBP14|TSC3|AKL1|ORC2|TRM7|NA|NA|NA|ECM2|NRG2|TIP1|BAP2|TAT1|ALG14|NA|HSP26|NA|RDH54|NA|ECM8|NA|SLM4|ECM33|RPG1|SEC18|SPT7|NA|NA|UBC4|TEC1|MIS1|RPL19A|AAC3|NA|IST2|RFC5|POL30|NA|NHP6B|NA|TIM12|PHO3|PHO5|PBY1|RXT2|NA|VPS15	YBR058C|YBR058C-A|YBR059C|YBR060C|YBR061C|YBR062C|YBR063C|YBR064W|YBR065C|YBR066C|YBR067C|YBR068C|YBR069C|YBR070C|YBR071W|YBR072W|YBR072C-A|YBR073W|YBR074W|YBR076W|YBR076C-A|YBR077C|YBR078W|YBR079C|YBR080C|YBR081C|tR(UCU)B|tD(GUC)B|YBR082C|YBR083W|YBR084W|YBR084C-A|YBR085W|YBR085C-A|YBR086C|YBR087W|YBR088C|YBR089W|YBR089C-A|YBR090C|YBR091C|YBR092C|YBR093C|YBR094W|YBR095C|YBR096W|YBR097W
Caffeine	0.039	4	527443	11.94	520655	559460	NA|NA|NA|NA|NA|ARO3|EHD3|KRS1|ENA5|ENA2|ENA1|RSM10|NA|SNR47|NRG1|HEM13|RPC11|BAP3|HEM12|NA|NA|TPI1|DET1|DBF4	YDRWdelta7|YDR034C-A|YDRCdelta6b|tQ(UUG)D1|YDR034W-B|YDR035W|YDR036C|YDR037W|YDR038C|YDR039C|YDR040C|YDR041W|YDR042C|snR47|YDR043C|YDR044W|YDR045C|YDR046C|YDR047W|YDR048C|YDR049W|YDR050C|YDR051C|YDR052C
Caffeine	0.014	4	1022768	4.44	949786	1107442	PRP28|PEX5|MNN10|TRS23|NA|VHS1|NA|NA|NA|PAM1|BTT1|MET32|CHL4|RMD5|CTA1|RKM4|HSP78|YAP6|SWM1|EXG2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|DIN7|AKR1|PEX10|NA|CIA1|MSW1|NA|CCC2|NA|GLO2|DON1|NA|BSC2|PMP3|MTH1|NA|NA|RNH202|RRP45|PHM6|NA|NA|GCN2|DPP1|ZIP1|NA|INM2|NSE3|RTT103|NA|HRQ1|SRP101|SSD1|DPL1|HDA2|MHR1|SUR2|ATP5|BFR2|PRO1|CFT1|GPI11|RSC3|CPR5|HNT2|NA|NA|NA|SRB7|GIC2|SUM1|TFB1|SSF2|PIB1|RAD34|IPK1|OMS1|NA|NA|NA|NA|NA|NA|HIM1|MCM21|NA|SWA2	YDR243C|YDR244W|YDR245W|YDR246W|YDR246W-A|YDR247W|YDR248C|YDR249C|YDR250C|YDR251W|YDR252W|YDR253C|YDR254W|YDR255C|YDR256C|YDR257C|YDR258C|YDR259C|YDR260C|YDR261C|tS(AGA)D2|YDRWTy2-3|YDRWdelta19|YDR261W-A|YDR261W-B|YDRWdelta20|YDRCTy1-3|YDRCdelta21|YDR261C-D|YDR261C-C|YDRCdelta22|YDRCsigma4|tG(GCC)D2|YDR262W|YDR263C|YDR264C|YDR265W|YDR266C|YDR267C|YDR268W|YDR269C|YDR270W|YDR271C|YDR272W|YDR273W|YDR274C|YDR275W|YDR276C|YDR277C|YDR278C|tE(CUC)D|YDR279W|YDR280W|YDR281C|YDRWsigma5|YDR282C|YDR283C|YDR284C|YDR285W|YDR286C|YDR287W|YDR288W|YDR289C|YDR290W|YDR291W|YDR292C|YDR293C|YDR294C|YDR295C|YDR296W|YDR297W|YDR298C|YDR299W|YDR300C|YDR301W|YDR302W|YDR303C|YDR304C|YDR305C|YDR306C|tV(CAC)D|YDR307W|YDR308C|YDR309C|YDR310C|YDR311W|YDR312W|YDR313C|YDR314C|YDR315C|YDR316W|tF(GAA)D|YDRWTy1-4|YDRWdelta23|YDR316W-A|YDR316W-B|YDRWdelta24|YDR317W|YDR318W|YDR319C|YDR320C
Caffeine	0.025	8	118063	6.86	72694	124087	DUR3|NA|RPS20|YLF2|OTU2|NA|PRS3|ETP1|YAP3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|STE20|NA|SHU1|NA|MRP4|LAG1|NA|HSE1|RPL14B|CEN8|OSH7|QCR10|LEU5|NA|NEM1|GPA1|TIM10|NA|NA|NA|STP2|ERG11|NA|SOD2	YHL016C|YHL015W-A|YHL015W|YHL014C|YHL013C|YHL012W|YHL011C|YHL010C|YHL009C|tV(AAC)H|YHLCsigma1|YHLWTy4-1|YHLWtau1|YHL009W-A|YHL009W-B|YHLWtau2|YHLCdelta1|YHLWdelta2|YHL008C|YHL007C|YHL006W-A|YHL006C|YHL005C|YHL004W|YHL003C|YHL002C-A|YHL002W|YHL001W|CEN8|YHR001W|YHR001W-A|YHR002W|YHR003C|YHR004C|YHR005C|YHR005C-A|tT(AGU)H|YHRCdelta3|YHRCdelta4|YHR006W|YHR007C|YHR007C-A|YHR008C
